Población.Censos.Censo anual.Población censada.Total. Población censada de 100 y más años. Unidad: Número. Fuente: Censo de Población Anual. INE.;
Serie;;;2021;2022;2023;2024
Comunidad de Madrid;;Comunidad de Madrid;1.877,00;2.067,00;2.211,00;2.475,00;
Zonas Estadísticas;01;Municipio de Madrid ;1.254,00;1.341,00;1.432,00;1.595,00;
Zonas Estadísticas;02;Norte Metropolitano ;53,00;71,00;65,00;88,00;
Zonas Estadísticas;03;Este Metropolitano  ;97,00;108,00;114,00;142,00;
Zonas Estadísticas;04;Sur Metropolitano   ;215,00;260,00;286,00;285,00;
Zonas Estadísticas;05;Oeste Metropolitano ;129,00;145,00;144,00;178,00;
Zonas Estadísticas;06;Sierra Norte        ;25,00;21,00;24,00;17,00;
Zonas Estadísticas;07;Nordeste Comunidad  ;10,00;11,00;12,00;13,00;
Zonas Estadísticas;08;Sudeste Comunidad   ;24,00;23,00;22,00;25,00;
Zonas Estadísticas;09;Sudoeste Comunidad  ;27,00;28,00;37,00;46,00;
Zonas Estadísticas;10;Sierra Sur          ;13,00;15,00;19,00;21,00;
Zonas Estadísticas;11;Sierra Central      ;30,00;44,00;56,00;65,00;
Municipios;0014;Acebeda (La);0,00;0,00;0,00;0,00;
Municipios;0029;Ajalvir;1,00;2,00;2,00;1,00;
Municipios;0035;Alameda del Valle;0,00;0,00;0,00;0,00;
Municipios;0040;Álamo (El);2,00;3,00;5,00;8,00;
Municipios;0053;Alcalá de Henares;38,00;43,00;42,00;56,00;
Municipios;0066;Alcobendas;20,00;21,00;24,00;34,00;
Municipios;0072;Alcorcón;36,00;46,00;44,00;44,00;
Municipios;0088;Aldea del Fresno;2,00;1,00;2,00;2,00;
Municipios;0091;Algete;2,00;3,00;3,00;7,00;
Municipios;0105;Alpedrete;4,00;4,00;1,00;1,00;
Municipios;0112;Ambite;0,00;0,00;0,00;0,00;
Municipios;0127;Anchuelo;0,00;0,00;1,00;0,00;
Municipios;0133;Aranjuez;10,00;14,00;16,00;17,00;
Municipios;0148;Arganda del Rey;9,00;10,00;11,00;13,00;
Municipios;0151;Arroyomolinos;0,00;1,00;3,00;2,00;
Municipios;0164;Atazar (El);0,00;0,00;0,00;0,00;
Municipios;0170;Batres;0,00;0,00;0,00;0,00;
Municipios;0186;Becerril de la Sierra;1,00;1,00;1,00;0,00;
Municipios;0199;Belmonte de Tajo;0,00;0,00;1,00;0,00;
Municipios;0210;Berrueco (El);0,00;0,00;0,00;0,00;
Municipios;0203;Berzosa del Lozoya;1,00;0,00;0,00;2,00;
Municipios;0225;Boadilla del Monte;7,00;9,00;14,00;17,00;
Municipios;0231;Boalo (El);1,00;2,00;2,00;0,00;
Municipios;0246;Braojos;0,00;0,00;0,00;0,00;
Municipios;0259;Brea de Tajo;0,00;0,00;0,00;0,00;
Municipios;0262;Brunete;0,00;0,00;0,00;1,00;
Municipios;0278;Buitrago del Lozoya;2,00;3,00;3,00;2,00;
Municipios;0284;Bustarviejo;1,00;0,00;0,00;0,00;
Municipios;0297;Cabanillas de la Sierra;0,00;0,00;0,00;0,00;
Municipios;0301;Cabrera (La);0,00;1,00;2,00;1,00;
Municipios;0318;Cadalso de los Vidrios;1,00;1,00;2,00;2,00;
Municipios;0323;Camarma de Esteruelas;0,00;1,00;1,00;1,00;
Municipios;0339;Campo Real;1,00;2,00;0,00;1,00;
Municipios;0344;Canencia;0,00;0,00;2,00;1,00;
Municipios;0357;Carabaña;0,00;1,00;1,00;2,00;
Municipios;0360;Casarrubuelos;0,00;0,00;0,00;0,00;
Municipios;0376;Cenicientos;1,00;0,00;0,00;3,00;
Municipios;0382;Cercedilla;3,00;2,00;3,00;6,00;
Municipios;0395;Cervera de Buitrago;0,00;0,00;0,00;0,00;
Municipios;0513;Chapinería;2,00;2,00;2,00;1,00;
Municipios;0528;Chinchón;1,00;2,00;1,00;1,00;
Municipios;0409;Ciempozuelos;2,00;6,00;12,00;15,00;
Municipios;0416;Cobeña;0,00;1,00;0,00;0,00;
Municipios;0468;Collado Mediano;0,00;1,00;1,00;2,00;
Municipios;0474;Collado Villalba;15,00;22,00;18,00;21,00;
Municipios;0455;Colmenar Viejo;9,00;14,00;16,00;14,00;
Municipios;0437;Colmenar de Oreja;5,00;2,00;2,00;3,00;
Municipios;0421;Colmenar del Arroyo;1,00;2,00;2,00;1,00;
Municipios;0442;Colmenarejo;0,00;1,00;5,00;4,00;
Municipios;0480;Corpa;0,00;0,00;0,00;0,00;
Municipios;0493;Coslada;16,00;17,00;14,00;20,00;
Municipios;0506;Cubas de la Sagra;1,00;2,00;3,00;2,00;
Municipios;0534;Daganzo de Arriba;2,00;1,00;2,00;2,00;
Municipios;0549;Escorial (El);5,00;3,00;5,00;5,00;
Municipios;0552;Estremera;0,00;1,00;1,00;1,00;
Municipios;0565;Fresnedillas de la Oliva;0,00;0,00;0,00;0,00;
Municipios;0571;Fresno de Torote;0,00;1,00;0,00;0,00;
Municipios;0587;Fuenlabrada;20,00;21,00;27,00;23,00;
Municipios;0590;Fuente el Saz de Jarama;1,00;1,00;2,00;3,00;
Municipios;0604;Fuentidueña de Tajo;1,00;1,00;0,00;0,00;
Municipios;0611;Galapagar;3,00;5,00;7,00;9,00;
Municipios;0626;Garganta de los Montes;0,00;1,00;0,00;0,00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0,00;0,00;0,00;0,00;
Municipios;0647;Gascones;0,00;0,00;0,00;0,00;
Municipios;0650;Getafe;38,00;43,00;46,00;44,00;
Municipios;0663;Griñón;3,00;2,00;6,00;6,00;
Municipios;0679;Guadalix de la Sierra;4,00;3,00;2,00;1,00;
Municipios;0685;Guadarrama;2,00;7,00;12,00;16,00;
Municipios;0698;Hiruela (La);0,00;0,00;0,00;0,00;
Municipios;0702;Horcajo de la Sierra-Aoslos;0,00;0,00;0,00;0,00;
Municipios;0719;Horcajuelo de la Sierra;0,00;0,00;0,00;0,00;
Municipios;0724;Hoyo de Manzanares;1,00;2,00;1,00;2,00;
Municipios;0730;Humanes de Madrid;2,00;2,00;4,00;2,00;
Municipios;0745;Leganés;40,00;50,00;59,00;56,00;
Municipios;0758;Loeches;1,00;1,00;0,00;0,00;
Municipios;0761;Lozoya;1,00;0,00;0,00;0,00;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;2,00;2,00;1,00;1,00;
Municipios;0783;Madarcos;0,00;0,00;0,00;0,00;
Municipios;0796;Madrid;1.254,00;1.341,00;1.432,00;1.595,00;
Municipios;0800;Majadahonda;20,00;17,00;16,00;16,00;
Municipios;0822;Manzanares el Real;1,00;1,00;0,00;1,00;
Municipios;0838;Meco;0,00;0,00;0,00;0,00;
Municipios;0843;Mejorada del Campo;3,00;3,00;4,00;1,00;
Municipios;0856;Miraflores de la Sierra;1,00;0,00;0,00;1,00;
Municipios;0869;Molar (El);1,00;2,00;1,00;1,00;
Municipios;0875;Molinos (Los);0,00;0,00;1,00;2,00;
Municipios;0881;Montejo de la Sierra;2,00;0,00;0,00;0,00;
Municipios;0894;Moraleja de Enmedio;1,00;2,00;1,00;1,00;
Municipios;0908;Moralzarzal;2,00;3,00;2,00;6,00;
Municipios;0915;Morata de Tajuña;4,00;5,00;3,00;4,00;
Municipios;0920;Móstoles;37,00;41,00;41,00;48,00;
Municipios;0936;Navacerrada;0,00;0,00;0,00;0,00;
Municipios;0941;Navalafuente;0,00;0,00;0,00;0,00;
Municipios;0954;Navalagamella;1,00;1,00;0,00;2,00;
Municipios;0967;Navalcarnero;12,00;9,00;6,00;9,00;
Municipios;0973;Navarredonda y San Mamés;1,00;1,00;1,00;1,00;
Municipios;0992;Navas del Rey;2,00;1,00;1,00;1,00;
Municipios;1006;Nuevo Baztán;0,00;0,00;0,00;0,00;
Municipios;1013;Olmeda de las Fuentes;0,00;0,00;0,00;0,00;
Municipios;1028;Orusco de Tajuña;0,00;0,00;1,00;2,00;
Municipios;1049;Paracuellos de Jarama;3,00;3,00;3,00;5,00;
Municipios;1065;Parla;19,00;18,00;17,00;16,00;
Municipios;1071;Patones;0,00;0,00;0,00;0,00;
Municipios;1087;Pedrezuela;4,00;3,00;3,00;2,00;
Municipios;1090;Pelayos de la Presa;2,00;1,00;1,00;0,00;
Municipios;1104;Perales de Tajuña;0,00;0,00;0,00;0,00;
Municipios;1111;Pezuela de las Torres;0,00;0,00;0,00;0,00;
Municipios;1126;Pinilla del Valle;0,00;0,00;0,00;0,00;
Municipios;1132;Pinto;5,00;8,00;4,00;5,00;
Municipios;1147;Piñuécar-Gandullas;0,00;0,00;0,00;0,00;
Municipios;1150;Pozuelo de Alarcón;34,00;45,00;42,00;51,00;
Municipios;1163;Pozuelo del Rey;0,00;0,00;0,00;0,00;
Municipios;1179;Prádena del Rincón;0,00;0,00;0,00;0,00;
Municipios;1185;Puebla de la Sierra;0,00;0,00;0,00;0,00;
Municipios;9020;Puentes Viejas;1,00;1,00;1,00;1,00;
Municipios;1198;Quijorna;1,00;1,00;0,00;1,00;
Municipios;1202;Rascafría;0,00;0,00;0,00;0,00;
Municipios;1219;Redueña;0,00;0,00;0,00;0,00;
Municipios;1224;Ribatejada;1,00;1,00;1,00;1,00;
Municipios;1230;Rivas-Vaciamadrid;4,00;3,00;5,00;12,00;
Municipios;1245;Robledillo de la Jara;0,00;0,00;0,00;0,00;
Municipios;1258;Robledo de Chavela;2,00;4,00;5,00;2,00;
Municipios;1261;Robregordo;0,00;0,00;0,00;0,00;
Municipios;1277;Rozas de Madrid (Las);26,00;24,00;26,00;34,00;
Municipios;1283;Rozas de Puerto Real;0,00;1,00;2,00;2,00;
Municipios;1296;San Agustín del Guadalix;3,00;5,00;2,00;2,00;
Municipios;1300;San Fernando de Henares;3,00;7,00;8,00;8,00;
Municipios;1317;San Lorenzo de El Escorial;7,00;10,00;13,00;13,00;
